Global Petroleum ,GBP,	0.585	20,533,367	0.00%	0.57	0.61	60
GCM Resources ,GCM,	4.25	10,189	-8.60%	4.25	4.65	3
Goldplat ,GDP,	7.10	971,976	-2.07%	7.10	7.10	22
Genedrive ,GDR,	29.75	6,571,061	8.18%	27.00	31.75	496
Genincode ,GENI,	33.00	27,993	0.00%	33.00	33.00	4
Getbusy ,GETB,	69.50	10,245	-0.71%	69.50	69.50	4
Gfinity ,GFIN,	3.80	2,427,193	0.00%	3.725	3.80	34
Griffin Mining ,GFM,	89.00	70,532	0.55%	89.00	89.00	7
Greatland ,GGP,	13.80	10,178,252	-0.72%	13.80	13.80	381
Gresham House ,GHE,	893.00	776	0.00%	893.00	893.00	8
Gooch & Housego ,GHH,	1,175.00	11,874	0.86%	1,160.00	1,175.00	30
Glantus Hld ,GLAN,	86.50	495,006	3.59%	83.50	87.00	8
Galileo Resourc ,GLR,	1.05	5,449,822	10.53%	0.95	1.10	27
Gama Aviation ,GMAA,	47.50	60	0.00%	47.50	47.50	1
Gaming Realms ,GMR,	35.00	1,206,086	4.48%	32.60	35.50	80
Good Enrg ,GOOD,	245.00	12,588	-1.01%	245.00	247.50	15
Grc Intl ,GRC,	42.00	24,453	-1.18%	42.00	42.50	2
Goldstone Resources ,GRL,	9.75	973,348	1.56%	9.75	9.85	28
Greenroc Minin. ,GROC,	6.10	0	0.00%	6.10	6.10	0
Greencoat Rene. ,GRP,	1.11	95,853	-0.44%	1.11	1.125	27
Getech Grp ,GTC,	32.20	74,830	-4.45%	32.20	33.70	15
Gateley Hldgs ,GTLY,	223.00	29,833	-3.04%	223.00	227.50	33
Gunsynd ,GUN,	0.825	1,037,291	0.00%	0.825	0.825	4
Great Western ,GWMO,	0.13	7,274,801	4.00%	0.125	0.13	20
Global Yachting Group ,GYG,	42.50	4,277	0.00%	42.50	42.50	3
Harland&wolff ,HARL,	17.25	294,104	-0.72%	17.125	17.375	11
H&t Group Plc ,HAT,	286.00	9,943	-0.35%	285.00	300.00	16
Haydale ,HAYD,	5.90	447,531	0.00%	5.90	5.90	23
Hutchmed ,HCM,	466.00	88,820	-4.61%	463.50	495.00	220
Hardide ,HDD,	30.00	19,026	-3.23%	30.00	31.00	3
